D FS E .	A4_1 B4_1 C4_1 B31_2 C31_1 A31_1 A5_2 C5_2 B5_1	0 0 0 1 1 1 2 2 2 3
C V ES .	C3_1 A3_1 B3_1 B21_1 C21_1 A21_2 C30_1 A30_2 B30_1	0 0 0 1 1 1 2 2 2 3
JS W G .	B35_2 A35_1 C35_1 C22_1 A22_2 B22_1 A7_1 B7_2 C7_2	0 0 0 1 1 1 2 2 2 3
GS I LS FS .	A32_1 C32_2 B32_2 A9_2 C9_1 B9_2 C37_2 B37_1 A37_2 B31_2 C31_2 A31_1	0 0 0 1 1 1 2 2 2 3 3 3 4
Y P MS I .	C24_1 B24_1 A24_1 B16_2 C16_2 A16_1 A38_2 B38_1 C38_2 C9_1 B9_2 A9_1	0 0 0 1 1 1 2 2 2 3 3 3 4
X A .	B23_1 C23_2 A23_2 A1_1 B1_1 C1_1	0 0 0 1 1 1 2
KS OS O NS .	B36_2 A36_2 C36_1 C40_1 B40_1 A40_2 B15_1 A15_1 C15_1 A39_1 C39_1 B39_2	0 0 0 1 1 1 2 2 2 3 3 3 4
V FS T .	B21_1 C21_2 A21_1 B31_1 A31_1 C31_2 A19_2 C19_2 B19_2	0 0 0 1 1 1 2 2 2 3
Z G GS .	A25_2 B25_2 C25_1 A7_2 C7_1 B7_1 B32_2 A32_1 C32_2	0 0 0 1 1 1 2 2 2 3
J NS M .	C10_2 B10_1 A10_1 C39_2 A39_2 B39_2 B13_1 C13_2 A13_2	0 0 0 1 1 1 2 2 2 3
V M K A .	A21_2 B21_1 C21_2 B13_1 A13_2 C13_2 A11_1 B11_1 C11_2 B1_2 C1_2 A1_2	0 0 0 1 1 1 2 2 2 3 3 3 4
OS C Q .	A40_2 B40_1 C40_2 B3_1 A3_1 C3_2 A17_1 C17_2 B17_2	0 0 0 1 1 1 2 2 2 3
DS NS .	A29_2 C29_2 B29_2 C39_1 A39_1 B39_1	0 0 0 1 1 1 2
E OS .	B5_2 A5_1 C5_2 C40_2 A40_1 B40_1	0 0 0 1 1 1 2
OS .	B40_2 A40_2 C40_1	0 0 0 1
P O A .	B16_2 C16_2 A16_2 B15_1 A15_1 C15_2 A1_1 C1_1 B1_1	0 0 0 1 1 1 2 2 2 3
U P Z J .	A20_1 C20_2 B20_1 B16_1 A16_1 C16_1 A25_2 B25_1 C25_1 B10_2 A10_2 C10_1	0 0 0 1 1 1 2 2 2 3 3 3 4
MS D G .	A38_2 C38_2 B38_2 C4_2 A4_1 B4_1 C7_2 B7_1 A7_2	0 0 0 1 1 1 2 2 2 3
GS .	A32_1 C32_1 B32_2	0 0 0 1
H .	C8_2 B8_2 A8_1	0 0 0 1
T FS M .	A19_2 B19_2 C19_2 C31_1 A31_1 B31_1 C13_1 B13_1 A13_2	0 0 0 1 1 1 2 2 2 3
F OS W .	B6_2 C6_1 A6_1 C40_2 A40_1 B40_1 B22_1 A22_2 C22_2	0 0 0 1 1 1 2 2 2 3
U .	C20_1 B20_2 A20_2	0 0 0 1
LS .	C37_1 B37_1 A37_1	0 0 0 1
I .	B9_1 A9_2 C9_2	0 0 0 1
K V E KS .	B11_1 A11_2 C11_2 C21_2 A21_2 B21_1 C5_1 B5_2 A5_1 C36_1 B36_1 A36_1	0 0 0 1 1 1 2 2 2 3 3 3 4
CS .	C28_2 B28_2 A28_1	0 0 0 1
O U .	C15_2 A15_2 B15_1 C20_2 A20_2 B20_2	0 0 0 1 1 1 2
A N Q T .	A1_1 B1_2 C1_1 A14_1 B14_1 C14_2 C17_2 A17_2 B17_1 A19_1 B19_2 C19_2	0 0 0 1 1 1 2 2 2 3 3 3 4
X .	B23_1 C23_2 A23_1	0 0 0 1
L KS .	C12_2 A12_1 B12_2 C36_1 A36_2 B36_1	0 0 0 1 1 1 2
H Q K LS .	C8_1 A8_1 B8_1 C17_1 B17_1 A17_2 A11_1 C11_1 B11_1 C37_2 B37_2 A37_1	0 0 0 1 1 1 2 2 2 3 3 3 4
CS G JS .	A28_1 C28_2 B28_1 C7_2 B7_1 A7_1 A35_1 B35_1 C35_1	0 0 0 1 1 1 2 2 2 3
HS .	B33_2 C33_1 A33_2	0 0 0 1
D I .	A4_2 C4_2 B4_1 C9_2 A9_1 B9_2	0 0 0 1 1 1 2
B IS .	A2_2 C2_1 B2_2 C34_2 B34_1 A34_2	0 0 0 1 1 1 2
IS CS BS .	C34_1 B34_1 A34_1 C28_1 A28_1 B28_2 C27_2 B27_1 A27_1	0 0 0 1 1 1 2 2 2 3
Q H W A .	A17_2 C17_2 B17_1 A8_1 B8_2 C8_1 B22_1 A22_2 C22_1 C1_1 B1_2 A1_1	0 0 0 1 1 1 2 2 2 3 3 3 4
P .	B16_1 A16_2 C16_1	0 0 0 1
X I KS .	B23_1 C23_1 A23_1 B9_1 A9_1 C9_2 A36_2 B36_1 C36_2	0 0 0 1 1 1 2 2 2 3
IS AS M V .	C34_1 A34_1 B34_1 A26_2 B26_1 C26_1 C13_2 A13_2 B13_2 C21_2 A21_2 B21_2	0 0 0 1 1 1 2 2 2 3 3 3 4
DS OS MS L .	C29_1 A29_1 B29_2 C40_1 A40_1 B40_2 B38_2 C38_1 A38_2 A12_1 C12_2 B12_2	0 0 0 1 1 1 2 2 2 3 3 3 4
ES N .	B30_2 A30_2 C30_2 C14_1 A14_2 B14_1	0 0 0 1 1 1 2
T A X .	A19_2 B19_2 C19_1 A1_2 B1_1 C1_1 B23_2 A23_1 C23_2	0 0 0 1 1 1 2 2 2 3
I JS CS .	C9_1 B9_2 A9_1 C35_2 A35_1 B35_1 C28_2 A28_2 B28_1	0 0 0 1 1 1 2 2 2 3
Q IS G .	C17_2 B17_1 A17_1 B34_1 A34_1 C34_2 B7_1 A7_2 C7_1	0 0 0 1 1 1 2 2 2 3
P Z ES .	B16_2 A16_1 C16_1 C25_2 A25_2 B25_1 A30_2 C30_1 B30_1	0 0 0 1 1 1 2 2 2 3
A M .	B1_1 A1_2 C1_1 B13_1 A13_1 C13_1	0 0 0 1 1 1 2
KS OS .	C36_1 B36_1 A36_2 C40_2 B40_2 A40_2	0 0 0 1 1 1 2
CS .	C28_2 B28_1 A28_2	0 0 0 1
Q DS IS .	C17_2 B17_1 A17_1 A29_2 C29_2 B29_1 C34_2 B34_1 A34_2	0 0 0 1 1 1 2 2 2 3
R Q DS HS .	B18_2 C18_2 A18_2 C17_2 A17_2 B17_2 A29_1 B29_2 C29_2 B33_2 A33_1 C33_1	0 0 0 1 1 1 2 2 2 3 3 3 4
B KS X IS .	C2_2 A2_2 B2_1 C36_1 A36_1 B36_2 C23_1 B23_1 A23_1 A34_2 C34_2 B34_2	0 0 0 1 1 1 2 2 2 3 3 3 4
FS IS U .	A31_2 B31_1 C31_1 B34_1 C34_1 A34_1 C20_2 B20_1 A20_1	0 0 0 1 1 1 2 2 2 3
K .	A11_1 C11_1 B11_1	0 0 0 1
FS G T .	B31_1 C31_2 A31_2 B7_2 C7_2 A7_1 A19_1 C19_2 B19_2	0 0 0 1 1 1 2 2 2 3
R E D Y .	A18_1 C18_1 B18_2 B5_1 C5_1 A5_1 B4_1 C4_1 A4_1 A24_2 C24_1 B24_2	0 0 0 1 1 1 2 2 2 3 3 3 4
R .	B18_1 C18_1 A18_1	0 0 0 1
A HS C V .	C1_1 A1_2 B1_2 C33_1 A33_1 B33_1 B3_2 C3_1 A3_1 B21_2 C21_2 A21_2	0 0 0 1 1 1 2 2 2 3 3 3 4
